id,text,createdAt,retweetCount,replyCount,likeCount,quoteCount,viewCount,bookmarkCount,lang,isReply,isQuote,word_count,char_count
2016677843728814512,"Anggota Komisi III DPR RI dari Fraksi PDI-P Safaruddin mencecar Kapolres Sleman Kombes Pol Edy Setyanto Erning Wibowo terkait penanganan kasus Hogi Minaya, suami korban penjambretan yang ditetapkan sebagai tersangka usai mengejar pelaku hingga meninggal dunia.

+ #Polisi #DPR ##Cut",2026-01-29 01:00:40+00:00,22,13,81,2,6364,10,in,False,,40,282
2025821265161044402,"Komisi III DPR RI mengingatkan majelis hakim Pengadilan Negeri Batam agar menjadikan pidana mati sebagai alternatif terakhir dalam perkara anak buah kapal (ABK) Sea Dragon, Fandi Ramadhan, yang dituntut hukuman mati dalam kasus penyelundupan sabu hampir 2 ton.

baca di sini: https://t.co/s1IgbUdkLy

~AA #HukumanMati #KasusABK #SeaDragon",2026-02-23 06:33:22+00:00,0,0,4,0,939,0,in,False,,46,338
2031081718581772370,"Mulan DPR Lulusan SMA? Tunggu, Cek Dulu Pendidikan Ketum Parpol Ini

Jagat media sosial kembali diramaikan oleh perdebatan lama yang selalu kembali muncul: soal pendidikan anggota DPR RI.

Kali ini, nama yang menjadi sorotan adalah Mulan Jameela, penyanyi sekaligus istri musisi Ahmad Dhani, yang saat ini menjabat sebagai anggota DPR RI periode 2024–2029 dari Fraksi Partai Gerindra.  

Gelombang kritik mencuat setelah sebuah video seorang ibu yang merekam dirinya di dalam mobil menjadi viral di TikTok melalui akun @Chastanti. 

Dalam video tersebut, ia menyuarakan keprihatinannya dengan membandingkan nasib para dosen yang harus berjuang memenuhi syarat linearitas keilmuan, dengan Mulan Jameela — yang disebutnya hanya lulusan SMA.

Di balik riuhnya kritik tersebut, ada fakta penting yang banyak terlewatkan. Mulan Jameela memang benar pernah berstatus lulusan SMA saat pertama kali masuk DPR pada 2019.   

Namun, ia kemudian melanjutkan kuliah di Universitas Kebangsaan Republik Indonesia (UKRI), Jurusan Bahasa Inggris, dan berhasil meraih gelar sarjana pada 2022. Dalam data resmi DPR RI saat ini, Mulan tercatat sebagai Sarjana Sastra Bahasa Inggris (S.S.).  

⚖️ Standar Ganda yang Tak Pernah Dipertanyakan: Megawati dan Aturan yang Lahir Untuknya 

Di sinilah muncul pertanyaan yang lebih menarik dan lebih jarang disuarakan: mengapa publik ramai mempersoalkan Mulan Jameela — artis dengan 83 ribu suara rakyat — tetapi sunyi seribu bahasa soal Megawati Soekarnoputri, Ketua Umum PDIP yang justru memiliki kuasa jauh lebih besar? 

Faktanya, Megawati secara formal juga tidak memiliki gelar sarjana. Putri Presiden Soekarno ini menempuh pendidikan SD hingga SMA di Perguruan Cikini, Jakarta. Ia sempat masuk Fakultas Pertanian Universitas Padjadjaran pada 1965, namun tidak tamat.

Jadi, kita dihadapkan pada fakta yang menggelitik: PDIP — partai yang anggotanya kini ramai mengkritik tingkat pendidikan Aleg dari partai lain — justru dipimpin oleh seorang Ketua Umum yang pendidikan formalnya setara dengan yang dipersoalkan itu. 

Sementara kewenangan Megawati jauh melampaui seorang anggota DPR biasa.

Baca artikel lengkapnya di sini: https://t.co/ggwzJ41tHg 

--------------------------------- 
Follow akun kami @serujinews , untuk mendapatkan berita dan artikel berkualitas, mendalam, yang berimbang dan mencerahkan publik akan hak-haknya. 
---------------------------------",2026-03-09 18:56:32+00:00,0,1,5,1,1775,0,in,False,,328,2395
2005895742150586624,"Benarkah revisi UUP2SK membuat exchange lokal tidak kompetitif dan memicu PHK masif?

Simak penjelasan dari Ketua Komisi XI DPR RI Mukhamad Misbakhun ya. 
👇👇👇

#RevisiUUP2SK #KriptoNaikKelas #RegulasiKriptoAman https://t.co/gmAUrYcdU0",2025-12-30 06:56:27+00:00,1,0,3,0,89,0,in,False,,28,234
1988814501538635897,"Ketua DPR RI, Puan Maharani, menghadiri forum MIKTA Speakers Consultation ke-11 di Seoul bersama parlemen Meksiko, Korea Selatan, Turki, dan Australia untuk memperkuat kerja sama antarnegara dalam perdamaian dan bantuan kemanusiaan.

Kamis
Pagii https://t.co/yeCutLgMuK",2025-11-13 03:41:42+00:00,0,8,16,0,194,0,in,False,,34,269
1991475603363824046,"Badan Legislasi (Baleg) DPR RI mengadakan Rapat Kerja dengan Kemendikdasmen dan Kemenag untuk membahas hasil evaluasi terhadap UU Guru dan Dosen di Gedung Parlemen, Senayan, Jakarta, Rabu (19/11).

Dalam pertemuan itu, anggota Baleg dari Fraksi Demokrat, Benny K. Harman, menyoroti maraknya kasus sertifikasi palsu di kalangan tenaga pendidik. Ia mencontohkan bahwa ada guru yang membeli sertifikat hingga ijazah palsu.

Benny juga menyinggung isu tuduhan ijazah palsu yang pernah dialamatkan kepada Hakim MK Arsul Sani, serta mengingatkan ada figur lain yang dituduh serupa namun enggan memperlihatkan ijazahnya

-

Selengkapnya kunjungi website dengan klik link di bio atau download aplikasi di AppStore dan Google Play Store.

#InilahNews #IjazahPalsu #KasusIjazahPalsu #Inilahcom #titiktengah #titikcerah",2025-11-20 11:55:58+00:00,1,0,1,0,276,0,in,False,,110,808
1988917253891313918,"Komisi III DPR RI akan menggelar sidang pengambilan keputusan tingkat satu atas RUU KUHAP, Kamis (13/11) sore. 🎥Ard

#DPR #KomisiIII #RUU #KUHAP https://t.co/cWpuInoq2W",2025-11-13 10:30:00+00:00,1,0,0,0,1054,0,in,False,,23,168
2022565402648416613,Wakil Ketua Komisi XII DPR RI Sugeng Suparwoto mendorong pemerataan akses listrik di seluruh Tanah Air agar tak ada lagi wilayah yang tertinggal dalam menikmati energi. https://t.co/UTBIKOQxRW,2026-02-14 06:55:44+00:00,0,1,2,1,149,0,in,False,,27,192
2020757054399381584,"DPR RI bersama pemerintah memastikan layanan kesehatan bagi peserta BPJS Kesehatan Penerima Bantuan Iuran (PBI) tetap berjalan. Dalam rapat konsultasi lintas kementerian disepakati masa transisi selama tiga bulan untuk proses pemutakhiran data, dengan jaminan seluruh layanan kesehatan tetap diberikan dan iuran PBI tetap dibayarkan oleh pemerintah. Pernyataan ini disampaikan Wakil Ketua DPR RI, Sufmi Dasco Ahmad, Senin (9/2) siang. 🎥Ard

#BPJSKesehatan #PBI #DPRRI
#LayananKesehatan #JaminanSosial #PemutakhiranData #KesehatanNasional #SufmiDascoAhmad",2026-02-09 07:10:00+00:00,0,1,0,0,674,0,in,False,,68,554
2015782485934911515,"KOMISI XI DPR RI resmi menetapkan Wakil Menteri Keuangan Thomas Djiwandono sebagai Deputi Gubernur Bank Indonesia (BI) usai menjalani uji kelayakan dan kepatutan (fit and proper test) di Kompleks Parlemen, Senayan, Jakarta, Senin (26/1).
https://t.co/Scmy9COEbU",2026-01-26 13:42:50+00:00,0,1,0,0,300,0,in,False,,35,261
